,name,id,image,current_team_logo,current_team_color,birth_country_name,passport_country_names,current_team_name,market_value,total_matches,minutes_on_field,last_club_name,positions,age,contract_expires,goals,xg_shot,assists,xg_assist,duels_avg,duels_won,foot,height,weight,on_loan,successful_defensive_actions_avg,defensive_duels_avg,defensive_duels_won,aerial_duels_avg,aerial_duels_won,tackle_avg,possession_adjusted_tackle,shot_block_avg,interceptions_avg,possession_adjusted_interceptions,fouls_avg,yellow_cards,yellow_cards_avg,red_cards,red_cards_avg,successful_attacking_actions_avg,goals_avg,non_penalty_goal,non_penalty_goal_avg,xg_shot_avg,head_goals,head_goals_avg,shots,shots_avg,shots_on_target_percent,goal_conversion_percent,assists_avg,crosses_avg,accurate_crosses_percent,cross_from_left_avg,successful_cross_from_left_percent,cross_from_right_avg,successful_cross_from_right_percent,cross_to_goalie_box_avg,dribbles_avg,successful_dribbles_percent,offensive_duels_avg,offensive_duels_won,touch_in_box_avg,progressive_run_avg,accelerations_avg,received_pass_avg,received_long_pass_avg,foul_suffered_avg,passes_avg,accurate_passes_percent,forward_passes_avg,successful_forward_passes_percent,back_passes_avg,successful_back_passes_percent,vertical_passes_avg,successful_vertical_passes_percent,short_medium_pass_avg,accurate_short_medium_pass_percent,long_passes_avg,successful_long_passes_percent,average_pass_length,average_long_pass_length,xg_assist_avg,shot_assists_avg,pre_assist_avg,pre_pre_assist_avg,smart_passes_avg,accurate_smart_passes_percent,key_passes_avg,passes_to_final_third_avg,accurate_passes_to_final_third_percent,pass_to_penalty_area_avg,accurate_pass_to_penalty_area_percent,through_passes_avg,successful_through_passes_percent,deep_completed_pass_avg,deep_completed_cross_avg,progressive_pass_avg,successful_progressive_pass_percent,conceded_goals,conceded_goals_avg,shots_against,shots_against_avg,clean_sheets,save_percent,xg_save,xg_save_avg,prevented_goals,prevented_goals_avg,back_pass_to_gk_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,free_kicks_taken_avg,direct_free_kicks_taken_avg,direct_free_kicks_on_target_percent,corners_taken_avg,penalties_taken,penalties_conversion_percent
0,A. Bott,-476332,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g16344_120x120.png,000000,,[],Chester,0,1,1,Chester,['AMF'],,,0,0.0,0,0.0,,,,0,0,False,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
1,A.  Jones,-469571,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4771_120x120.png,000000,England,['England'],Bishop's Stortford,0,1,4,Bishop's Stortford,['LAMF'],22.0,,0,0.0,0,0.0,,,right,182,0,False,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.71,31.71,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
2,W. Mcgowan,-471259,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4825_120x120.png,000000,England,['England'],Blyth Spartans,0,8,789,Blyth Spartans,"['AMF', 'RDMF', 'DMF']",21.0,,3,1.52,0,0.89,19.28,43.79,,0,0,False,7.3,5.59,63.27,2.05,33.33,0.0,0.0,0.11,3.76,5.5,0.68,0,0.0,0,0.0,2.85,0.34,3,0.34,0.17,0,0.0,12,1.37,41.67,25.0,0.0,1.14,40.0,0.57,40.0,0.57,40.0,0.11,3.19,46.43,8.56,40.0,2.74,1.94,0.46,25.67,0.57,2.17,40.04,84.05,10.49,64.13,8.21,94.44,14.71,89.92,36.27,87.42,2.74,54.17,17.28,27.16,0.1,1.03,0.0,0.0,1.03,33.33,0.68,5.02,70.45,2.28,50.0,1.83,25.0,1.25,0.46,5.59,75.51,0,,0,,0,0.0,0.0,0.0,,,0.68,,,0.23,0.11,0.0,0.8,0,0.0
3,L. Richards,-356807,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4813_120x120.png,000000,Wales,['Wales'],Gloucester City,0,3,90,Gloucester City,"['CB', 'RCB']",22.0,,0,0.19,0,0.0,15.0,66.67,unknown,0,0,False,11.0,4.0,75.0,10.0,60.0,0.0,0.0,5.0,8.0,8.89,1.0,1,1.0,0,0.0,1.0,0.0,0,0.0,0.19,0,0.0,1,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,1.0,0.0,1.0,0.0,1.0,18.0,61.11,12.0,50.0,2.0,100.0,3.0,66.67,11.0,72.73,7.0,42.86,29.37,37.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0,11.0,54.55,0,,0,,0,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,0.0,0,0.0
4,T. Walker,394135,https://cdn5.wyscout.com/photos/players/public/g394135_100x130.png,https://cdn5.wyscout.com/photos/team/public/g6882_120x120.png,000000,England,['England'],Buxton,0,4,94,Buxton,"['LAMF', 'LWF', 'DMF']",28.0,2024-06-30,0,0.0,1,0.41,13.4,28.57,left,182,0,True,4.79,2.87,0.0,1.91,100.0,0.96,1.76,0.0,3.83,7.06,0.0,0,0.0,0,0.0,0.96,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.96,4.79,0.0,4.79,0.0,0.0,0.0,0.0,4.79,20.0,7.66,25.0,0.96,1.91,0.96,18.19,0.96,0.0,24.89,65.38,5.74,50.0,7.66,100.0,7.66,50.0,15.32,100.0,4.79,20.0,22.09,22.13,0.39,1.91,0.0,0.0,0.0,0.0,0.0,0.96,0.0,2.87,0.0,0.0,0.0,0.0,0.0,5.74,50.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,3.83,0.0,0.0,4.79,0,0.0
5,W. Grewal-Pollard,-136730,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/3702_120x120.png,000000,England,['England'],Alfreton Town,0,4,55,Alfreton Town,"['LW', 'LWB', 'LAMF']",21.0,,0,0.0,0,0.0,14.73,55.56,left,0,0,False,6.55,4.91,66.67,3.27,50.0,0.0,0.0,0.0,3.27,8.57,1.64,0,0.0,0,0.0,1.64,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.64,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.0,13.09,0.0,0.0,19.64,58.33,4.91,66.67,4.91,100.0,8.18,20.0,11.45,71.43,8.18,40.0,24.6,36.99,0.0,0.0,0.0,0.0,1.64,100.0,0.0,8.18,40.0,1.64,100.0,0.0,0.0,0.0,0.0,6.55,50.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,3.27,0.0,0.0,1.64,0,0.0
6,W. Tahra,-380300,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4813_120x120.png,000000,France,['France'],Gloucester City,0,1,26,Gloucester City,['AMF'],25.0,,0,0.0,0,0.32,,,left,186,0,False,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.77,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
7,F. Tapp,468724,https://cdn5.wyscout.com/photos/players/public/g468724_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4806_120x120.png,000000,England,['England'],Banbury United,0,4,244,Banbury United,"['DMF', 'RCB', 'RCB3']",24.0,,0,0.38,0,0.0,15.86,41.86,right,184,79,False,8.48,4.43,58.33,4.43,41.67,1.11,1.67,0.0,4.8,7.22,0.74,1,0.37,0,0.0,0.37,0.0,0,0.0,0.14,0,0.0,1,0.37,100.0,0.0,0.0,0.37,0.0,0.37,0.0,0.0,0.0,0.0,0.37,0.0,1.84,0.0,1.11,0.37,0.0,16.97,0.37,0.37,36.89,65.0,20.66,69.64,3.32,66.67,11.8,59.38,27.3,70.27,9.22,52.0,27.56,47.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.07,56.67,0.37,100.0,0.0,0.0,0.37,0.0,11.8,68.75,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
8,F. Thorndike,523640,https://cdn5.wyscout.com/photos/players/public/g523640_100x130.png,https://cdn5.wyscout.com/photos/team/public/g737_120x120.png,000000,England,['England'],Boston United,0,7,476,Boston United,"['LCMF3', 'RW', 'CF']",21.0,2024-06-30,0,0.17,0,0.97,19.66,41.35,right,0,0,False,3.03,3.97,57.14,1.7,11.11,0.19,0.28,0.0,0.57,0.83,0.57,4,0.76,0,0.0,4.54,0.0,0,0.0,0.03,0,0.0,6,1.13,16.67,0.0,0.0,0.76,75.0,0.57,100.0,0.0,0.0,0.0,6.62,54.29,11.53,37.7,1.89,1.7,0.19,17.77,0.95,0.76,27.79,80.95,8.7,60.87,6.05,93.75,6.43,91.18,24.58,83.85,2.46,53.85,15.35,19.48,0.18,2.08,0.0,0.19,0.38,50.0,0.57,3.59,52.63,1.89,70.0,0.76,50.0,1.51,0.57,5.11,74.07,0,,0,,0,0.0,0.0,0.0,,,0.19,,,0.19,0.19,0.0,0.0,0,0.0
9,J. Oliver,-302779,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/3702_120x120.png,000000,England,['England'],Alfreton Town,0,8,279,Alfreton Town,"['RAMF', 'LAMF', 'LWF']",21.0,,0,0.07,1,0.55,21.29,31.82,,0,0,False,4.19,5.48,47.06,2.58,25.0,0.0,0.0,0.0,1.61,2.59,0.65,0,0.0,0,0.0,2.9,0.0,0,0.0,0.02,0,0.0,2,0.65,50.0,0.0,0.32,2.9,22.22,1.29,25.0,1.61,20.0,1.61,3.23,60.0,10.65,27.27,1.61,0.97,0.65,4.19,0.0,1.94,12.58,61.54,2.58,37.5,3.55,100.0,4.19,53.85,8.71,81.48,0.97,0.0,19.16,11.39,0.18,0.97,0.0,0.0,0.0,0.0,0.32,0.65,0.0,3.23,40.0,0.32,0.0,0.32,0.97,2.26,57.14,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.32,0.0,0.0,0.97,0,0.0
