,name,id,image,current_team_logo,current_team_color,birth_country_name,passport_country_names,current_team_name,market_value,total_matches,minutes_on_field,last_club_name,positions,age,contract_expires,goals,xg_shot,assists,xg_assist,duels_avg,duels_won,foot,height,weight,on_loan,successful_defensive_actions_avg,defensive_duels_avg,defensive_duels_won,aerial_duels_avg,aerial_duels_won,tackle_avg,possession_adjusted_tackle,shot_block_avg,interceptions_avg,possession_adjusted_interceptions,fouls_avg,yellow_cards,yellow_cards_avg,red_cards,red_cards_avg,successful_attacking_actions_avg,goals_avg,non_penalty_goal,non_penalty_goal_avg,xg_shot_avg,head_goals,head_goals_avg,shots,shots_avg,shots_on_target_percent,goal_conversion_percent,assists_avg,crosses_avg,accurate_crosses_percent,cross_from_left_avg,successful_cross_from_left_percent,cross_from_right_avg,successful_cross_from_right_percent,cross_to_goalie_box_avg,dribbles_avg,successful_dribbles_percent,offensive_duels_avg,offensive_duels_won,touch_in_box_avg,progressive_run_avg,accelerations_avg,received_pass_avg,received_long_pass_avg,foul_suffered_avg,passes_avg,accurate_passes_percent,forward_passes_avg,successful_forward_passes_percent,back_passes_avg,successful_back_passes_percent,vertical_passes_avg,successful_vertical_passes_percent,short_medium_pass_avg,accurate_short_medium_pass_percent,long_passes_avg,successful_long_passes_percent,average_pass_length,average_long_pass_length,xg_assist_avg,shot_assists_avg,pre_assist_avg,pre_pre_assist_avg,smart_passes_avg,accurate_smart_passes_percent,key_passes_avg,passes_to_final_third_avg,accurate_passes_to_final_third_percent,pass_to_penalty_area_avg,accurate_pass_to_penalty_area_percent,through_passes_avg,successful_through_passes_percent,deep_completed_pass_avg,deep_completed_cross_avg,progressive_pass_avg,successful_progressive_pass_percent,conceded_goals,conceded_goals_avg,shots_against,shots_against_avg,clean_sheets,save_percent,xg_save,xg_save_avg,prevented_goals,prevented_goals_avg,back_pass_to_gk_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,free_kicks_taken_avg,direct_free_kicks_taken_avg,direct_free_kicks_on_target_percent,corners_taken_avg,penalties_taken,penalties_conversion_percent
0,L. Richards,-356807,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4813_120x120.png,000000,Wales,['Wales'],Gloucester City,0,3,90,Gloucester City,"['CB', 'RCB']",22.0,,0,0.19,0,0.0,15.0,66.67,unknown,0,0,False,11.0,4.0,75.0,10.0,60.0,0.0,0.0,5.0,8.0,8.89,1.0,1,1.0,0,0.0,1.0,0.0,0,0.0,0.19,0,0.0,1,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,1.0,0.0,1.0,0.0,1.0,18.0,61.11,12.0,50.0,2.0,100.0,3.0,66.67,11.0,72.73,7.0,42.86,29.37,37.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0,11.0,54.55,0,,0,,0,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,0.0,0,0.0
1,F. Tapp,468724,https://cdn5.wyscout.com/photos/players/public/g468724_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4806_120x120.png,000000,England,['England'],Banbury United,0,4,244,Banbury United,"['DMF', 'RCB', 'RCB3']",24.0,,0,0.38,0,0.0,15.86,41.86,right,184,79,False,8.48,4.43,58.33,4.43,41.67,1.11,1.67,0.0,4.8,7.22,0.74,1,0.37,0,0.0,0.37,0.0,0,0.0,0.14,0,0.0,1,0.37,100.0,0.0,0.0,0.37,0.0,0.37,0.0,0.0,0.0,0.0,0.37,0.0,1.84,0.0,1.11,0.37,0.0,16.97,0.37,0.37,36.89,65.0,20.66,69.64,3.32,66.67,11.8,59.38,27.3,70.27,9.22,52.0,27.56,47.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.07,56.67,0.37,100.0,0.0,0.0,0.37,0.0,11.8,68.75,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
2,M. Parker,-533722,https://cdn5.wyscout.com/photos/players/public/g-533722_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4771_120x120.png,000000,England,['England'],Bishop's Stortford,0,2,135,Bishop's Stortford,"['LCB', 'RCB']",25.0,,0,0.0,0,0.0,11.33,47.06,right,188,0,False,9.33,4.0,66.67,4.0,16.67,0.0,0.0,0.0,6.67,10.34,2.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,100.0,0.0,0.67,0.0,32.67,0.67,0.0,47.33,87.32,19.33,75.86,1.33,100.0,22.0,96.97,44.67,88.06,2.67,75.0,20.39,23.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,60.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,58.33,0,,0,,0,0.0,0.0,0.0,,,1.33,,,0.0,0.0,0.0,0.0,0,0.0
3,N. Tunchatchawan,-536028,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g25837_120x120.png,000000,England,['England'],Farsley Celtic FC,0,1,98,Farsley Celtic FC,"['LCB', 'LCB3']",19.0,,0,0.0,1,0.0,12.86,35.71,,0,0,False,10.1,4.59,40.0,7.35,25.0,0.0,0.0,0.0,8.27,10.38,1.84,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18,0.0,0.0,19.29,66.67,8.27,33.33,2.76,100.0,7.35,87.5,15.61,82.35,3.67,0.0,25.09,47.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,33.33,0.92,0.0,0.0,0.0,0.0,0.0,2.76,0.0,0,,0,,0,0.0,0.0,0.0,,,2.76,,,0.0,0.0,0.0,0.0,0,0.0
4,J. Leckie,-138641,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g25837_120x120.png,000000,England,['England'],Farsley Celtic FC,0,6,596,Farsley Celtic FC,['RCB3'],20.0,2024-06-30,0,0.0,0,0.07,17.67,46.15,,0,0,False,9.21,6.64,50.0,4.98,57.58,0.0,0.0,0.45,5.89,9.21,1.66,2,0.3,0,0.0,0.15,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.3,50.0,0.0,0.0,0.3,50.0,0.0,0.0,0.0,0.91,33.33,0.0,0.15,0.0,12.08,0.3,0.15,28.69,66.84,19.03,59.52,3.32,90.91,3.93,84.62,17.21,77.19,11.17,51.35,28.72,43.25,0.01,0.15,0.0,0.0,0.0,0.0,0.15,9.51,47.62,1.81,58.33,1.06,42.86,0.91,0.15,9.36,74.19,0,,0,,0,0.0,0.0,0.0,,,2.57,,,0.0,0.0,0.0,0.0,0,0.0
5,H. Craven,-543215,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4931_120x120.png,000000,England,['England'],Rushall Olympic,0,1,98,Rushall Olympic,"['RCB', 'CB']",26.0,,0,0.0,0,0.0,23.88,57.69,,0,0,False,6.43,5.51,50.0,12.86,78.57,0.0,0.0,0.0,3.67,5.0,0.92,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,1.84,0.0,0.0,0.0,0.0,22.04,0.0,0.92,35.82,89.74,14.69,81.25,2.76,100.0,18.37,95.0,32.14,94.29,3.67,50.0,22.07,31.69,0.0,0.92,0.0,0.0,0.0,0.0,0.0,3.67,50.0,0.0,0.0,0.92,0.0,0.0,0.0,1.84,100.0,0,,0,,0,0.0,0.0,0.0,,,2.76,,,0.0,0.0,0.0,0.0,0,0.0
6,T. Edge,441236,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g737_120x120.png,000000,England,['England'],Boston United,0,9,471,Boston United,"['RCB', 'RCMF']",25.0,,0,0.4,0,0.0,17.77,50.54,right,183,0,False,6.88,4.59,62.5,6.31,51.52,0.19,0.31,0.38,3.82,6.12,0.38,1,0.19,0,0.0,1.53,0.0,0,0.0,0.08,0,0.0,5,0.96,40.0,0.0,0.0,0.19,0.0,0.19,0.0,0.0,0.0,0.0,1.91,60.0,3.25,41.18,0.57,1.53,0.38,26.18,0.0,0.19,43.18,78.76,17.77,67.74,4.39,86.96,15.1,89.87,34.39,88.89,8.6,40.0,20.03,36.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,62.5,0.96,20.0,0.76,0.0,0.19,0.0,7.64,72.5,0,,0,,0,0.0,0.0,0.0,,,0.57,,,0.19,0.0,0.0,0.0,0,0.0
7,A. Gudger,-469584,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4922_120x120.png,FF0000,England,['England'],Brackley Town,0,16,1542,Brackley Town,"['LCB3', 'LCB']",31.0,,1,1.2,0,0.13,14.88,57.25,left,183,0,False,7.3,3.56,63.93,7.18,58.54,0.35,0.5,0.12,4.67,6.7,0.93,3,0.18,0,0.0,0.41,0.06,1,0.06,0.07,0,0.0,9,0.53,44.44,11.111,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.18,100.0,1.17,40.0,0.64,0.18,0.0,15.18,0.41,0.93,28.13,74.07,15.23,62.07,2.74,91.49,8.11,89.93,21.42,85.01,6.65,39.47,25.23,40.83,0.01,0.12,0.0,0.0,0.06,0.0,0.06,5.25,42.22,0.7,0.0,0.29,0.0,0.06,0.0,7.24,63.71,0,,0,,0,0.0,0.0,0.0,,,2.1,,,0.0,0.0,0.0,0.0,0,0.0
8,T. Lees,481164,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g24446_120x120.png,000000,England,['England'],Darlington 1883,0,40,3830,Darlington 1883,"['RCB', 'RCB3']",27.0,2025-06-30,2,1.8,0,0.06,18.4,64.24,,0,0,False,11.21,6.46,77.45,7.59,59.75,0.26,0.37,0.89,5.95,8.59,0.47,2,0.05,0,0.0,0.38,0.05,2,0.05,0.04,2,0.05,16,0.38,37.5,12.5,0.0,0.14,66.67,0.05,100.0,0.09,50.0,0.02,0.23,60.0,1.17,34.0,0.45,1.74,0.21,24.91,0.54,0.54,42.44,77.85,20.84,64.04,2.23,100.0,15.93,91.59,32.36,87.8,9.96,45.75,24.23,40.05,0.0,0.09,0.02,0.02,0.05,0.0,0.0,8.04,50.0,0.7,36.67,0.63,37.04,0.23,0.09,9.8,65.95,0,,0,,0,0.0,0.0,0.0,,,1.53,,,0.02,0.0,0.0,0.0,0,0.0
9,K. Callan-McFadden,213948,https://cdn5.wyscout.com/photos/players/public/g213948_100x130.png,https://cdn5.wyscout.com/photos/team/public/g20251_120x120.png,000000,Republic of Ireland,['Republic of Ireland'],King's Lynn Town,0,44,4221,King's Lynn Town,"['LCB3', 'RCB3']",29.0,2025-06-30,2,2.84,0,0.21,18.29,57.23,right,183,86,False,10.66,6.52,63.73,8.04,57.29,0.26,0.35,0.72,6.25,8.43,0.98,7,0.15,0,0.0,0.15,0.04,2,0.04,0.06,2,0.04,12,0.26,41.67,16.667,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.09,50.0,0.62,34.48,0.45,0.38,0.06,16.42,0.36,0.53,30.36,77.53,16.57,68.6,1.75,87.8,9.62,92.24,24.18,85.45,6.16,46.71,23.2,38.06,0.0,0.04,0.0,0.0,0.04,0.0,0.02,4.37,53.66,0.45,14.29,0.43,20.0,0.15,0.0,7.55,56.78,0,,0,,0,0.0,0.0,0.0,,,1.13,,,0.0,0.0,0.0,0.0,0,0.0
