,name,id,image,current_team_logo,current_team_color,birth_country_name,passport_country_names,current_team_name,market_value,total_matches,minutes_on_field,last_club_name,positions,age,contract_expires,goals,xg_shot,assists,xg_assist,duels_avg,duels_won,foot,height,weight,on_loan,successful_defensive_actions_avg,defensive_duels_avg,defensive_duels_won,aerial_duels_avg,aerial_duels_won,tackle_avg,possession_adjusted_tackle,shot_block_avg,interceptions_avg,possession_adjusted_interceptions,fouls_avg,yellow_cards,yellow_cards_avg,red_cards,red_cards_avg,successful_attacking_actions_avg,goals_avg,non_penalty_goal,non_penalty_goal_avg,xg_shot_avg,head_goals,head_goals_avg,shots,shots_avg,shots_on_target_percent,goal_conversion_percent,assists_avg,crosses_avg,accurate_crosses_percent,cross_from_left_avg,successful_cross_from_left_percent,cross_from_right_avg,successful_cross_from_right_percent,cross_to_goalie_box_avg,dribbles_avg,successful_dribbles_percent,offensive_duels_avg,offensive_duels_won,touch_in_box_avg,progressive_run_avg,accelerations_avg,received_pass_avg,received_long_pass_avg,foul_suffered_avg,passes_avg,accurate_passes_percent,forward_passes_avg,successful_forward_passes_percent,back_passes_avg,successful_back_passes_percent,vertical_passes_avg,successful_vertical_passes_percent,short_medium_pass_avg,accurate_short_medium_pass_percent,long_passes_avg,successful_long_passes_percent,average_pass_length,average_long_pass_length,xg_assist_avg,shot_assists_avg,pre_assist_avg,pre_pre_assist_avg,smart_passes_avg,accurate_smart_passes_percent,key_passes_avg,passes_to_final_third_avg,accurate_passes_to_final_third_percent,pass_to_penalty_area_avg,accurate_pass_to_penalty_area_percent,through_passes_avg,successful_through_passes_percent,deep_completed_pass_avg,deep_completed_cross_avg,progressive_pass_avg,successful_progressive_pass_percent,conceded_goals,conceded_goals_avg,shots_against,shots_against_avg,clean_sheets,save_percent,xg_save,xg_save_avg,prevented_goals,prevented_goals_avg,back_pass_to_gk_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,free_kicks_taken_avg,direct_free_kicks_taken_avg,direct_free_kicks_on_target_percent,corners_taken_avg,penalties_taken,penalties_conversion_percent,Unnamed: 0
0,F. Tapp,468724,https://cdn5.wyscout.com/photos/players/public/g468724_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4806_120x120.png,000000,England,['England'],Banbury United,0,4,244,Banbury United,"['DMF', 'RCB', 'RCB3']",24.0,,0,0.38,0,0.0,15.86,41.86,right,184,79,False,8.48,4.43,58.33,4.43,41.67,1.11,1.67,0.0,4.8,7.22,0.74,1,0.37,0,0.0,0.37,0.0,0,0.0,0.14,0,0.0,1,0.37,100.0,0.0,0.0,0.37,0.0,0.37,0.0,0.0,0.0,0.0,0.37,0.0,1.84,0.0,1.11,0.37,0.0,16.97,0.37,0.37,36.89,65.0,20.66,69.64,3.32,66.67,11.8,59.38,27.3,70.27,9.22,52.0,27.56,47.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.07,56.67,0.37,100.0,0.0,0.0,0.37,0.0,11.8,68.75,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,
1,F. Thorndike,523640,https://cdn5.wyscout.com/photos/players/public/g523640_100x130.png,https://cdn5.wyscout.com/photos/team/public/g737_120x120.png,000000,England,['England'],Boston United,0,7,476,Boston United,"['LCMF3', 'RW', 'CF']",21.0,2024-06-30,0,0.17,0,0.97,19.66,41.35,right,0,0,False,3.03,3.97,57.14,1.7,11.11,0.19,0.28,0.0,0.57,0.83,0.57,4,0.76,0,0.0,4.54,0.0,0,0.0,0.03,0,0.0,6,1.13,16.67,0.0,0.0,0.76,75.0,0.57,100.0,0.0,0.0,0.0,6.62,54.29,11.53,37.7,1.89,1.7,0.19,17.77,0.95,0.76,27.79,80.95,8.7,60.87,6.05,93.75,6.43,91.18,24.58,83.85,2.46,53.85,15.35,19.48,0.18,2.08,0.0,0.19,0.38,50.0,0.57,3.59,52.63,1.89,70.0,0.76,50.0,1.51,0.57,5.11,74.07,0,,0,,0,0.0,0.0,0.0,,,0.19,,,0.19,0.19,0.0,0.0,0,0.0,
2,L. Mariette,-222592,https://cdn5.wyscout.com/photos/players/public/g-222592_100x130.png,https://cdn5.wyscout.com/photos/team/public/2749_120x120.png,000000,Wales,['Wales'],Southport,0,2,49,Southport,"['LCMF', 'CF']",19.0,2024-06-30,0,0.0,0,0.03,9.18,40.0,right,0,0,True,1.84,0.0,0.0,7.35,50.0,0.0,0.0,0.0,1.84,3.33,0.0,1,1.84,0,0.0,1.84,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.84,100.0,1.84,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18,0.0,34.9,0.0,0.0,60.61,72.73,20.2,45.45,9.18,80.0,25.71,85.71,47.76,80.77,12.86,42.86,19.47,30.77,0.05,1.84,0.0,0.0,0.0,0.0,0.0,14.69,87.5,3.67,0.0,0.0,0.0,1.84,0.0,12.86,71.43,0,,0,,0,0.0,0.0,0.0,,,0.0,,,1.84,0.0,0.0,0.0,0,0.0,
3,L. Earl,-286098,https://cdn5.wyscout.com/photos/players/public/g-286098_100x130.png,https://cdn5.wyscout.com/photos/team/public/g16344_120x120.png,000000,England,['England'],Chester,0,3,199,Chester,"['RDMF', 'DMF', 'LCMF']",21.0,,0,0.01,0,0.22,22.16,67.35,right,0,0,False,14.02,9.95,86.36,6.33,42.86,0.45,0.61,0.45,4.97,6.73,0.0,0,0.0,0,0.0,2.26,0.0,0,0.0,0.0,0,0.0,1,0.45,0.0,0.0,0.0,0.9,50.0,0.0,0.0,0.9,50.0,0.0,2.26,60.0,4.07,55.56,0.0,0.9,0.45,24.42,0.45,0.45,42.51,73.4,21.71,56.25,5.43,100.0,12.21,85.19,31.66,80.0,9.95,54.55,23.8,40.56,0.1,0.45,0.0,0.0,0.9,50.0,0.45,14.02,51.61,3.62,25.0,0.9,50.0,0.45,0.45,10.4,73.91,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,
4,A. Teixeira,-390014,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g35055_120x120.png,000000,Angola,['Angola'],Hereford FC,0,17,1663,Hereford FC,"['RCMF', 'LDMF', 'RDMF']",21.0,,1,0.33,0,0.19,17.21,55.97,right,0,0,False,8.23,7.36,67.65,2.27,38.1,0.43,0.59,0.27,2.81,3.82,0.97,3,0.16,0,0.0,0.92,0.05,1,0.05,0.02,0,0.0,4,0.22,25.0,25.0,0.0,0.49,55.56,0.22,50.0,0.27,60.0,0.05,1.03,57.89,4.98,51.09,0.05,0.76,0.38,16.61,0.16,1.41,31.39,77.76,10.66,57.87,5.3,93.88,10.55,88.72,26.9,84.1,4.06,37.33,18.56,34.23,0.01,0.27,0.0,0.0,0.05,0.0,0.0,5.79,56.07,0.97,27.78,0.22,25.0,0.22,0.32,5.25,61.86,0,,0,,0,0.0,0.0,0.0,,,0.6,,,0.05,0.0,0.0,0.0,0,0.0,
5,J. Glover,-317935,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g23906_120x120.png,000000,England,['England'],Spennymoor Town,0,5,308,Spennymoor Town,"['LCMF', 'LDMF', 'RB']",20.0,,0,0.16,0,0.13,15.78,31.48,right,0,0,True,7.31,7.01,45.83,2.34,12.5,0.0,0.0,0.29,4.09,5.53,1.75,1,0.29,0,0.0,0.88,0.0,0,0.0,0.05,0,0.0,1,0.29,0.0,0.0,0.0,2.05,28.57,0.0,0.0,2.05,28.57,0.29,1.46,20.0,4.09,21.43,1.17,1.46,0.58,17.82,1.17,0.58,35.06,70.83,12.27,57.14,5.84,90.0,9.94,88.24,29.51,79.21,3.8,30.77,14.79,26.36,0.04,0.58,0.0,0.0,0.29,0.0,0.29,5.84,50.0,1.46,20.0,0.58,0.0,0.29,0.58,8.18,53.57,0,,0,,0,0.0,0.0,0.0,,,0.88,,,0.0,0.0,0.0,0.58,0,0.0,
6,J. Jellis,-171921,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/2751_120x120.png,000000,England,['England'],Tamworth,0,26,2496,Tamworth,"['RDMF', 'RCMF', 'LDMF']",23.0,,3,3.64,1,2.02,23.15,54.98,,0,0,False,11.29,7.32,70.44,5.01,53.96,0.58,0.83,0.29,5.55,7.95,1.3,7,0.25,0,0.0,2.34,0.11,3,0.11,0.13,1,0.04,51,1.84,21.57,5.882,0.04,1.73,25.0,0.47,30.77,1.19,24.24,0.25,2.49,55.07,6.49,47.78,1.77,1.88,0.72,17.99,0.94,1.48,38.65,71.64,15.76,55.61,5.37,92.62,12.01,80.18,31.59,79.91,5.48,38.82,20.06,39.05,0.07,0.94,0.04,0.04,0.29,50.0,0.32,8.73,52.48,2.78,41.56,0.76,23.81,0.87,0.43,7.43,73.79,0,,0,,0,0.0,0.0,0.0,,,0.58,,,0.25,0.0,0.0,0.4,0,0.0,
7,E. Burnett,-102878,https://cdn5.wyscout.com/photos/players/public/g-102878_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4771_120x120.png,000000,England,['England'],Bishop's Stortford,0,4,229,Bishop's Stortford,"['LCMF', 'DMF']",21.0,2025-06-30,0,0.04,0,0.0,13.76,42.86,right,0,0,False,7.47,6.68,58.82,3.54,22.22,0.0,0.0,0.0,3.54,5.19,2.36,0,0.0,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,2,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,10.22,0.39,0.0,22.01,62.5,11.0,53.57,3.54,88.89,5.11,76.92,17.29,70.45,4.72,33.33,19.3,19.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.07,55.56,0.79,50.0,0.39,100.0,0.39,0.0,5.5,71.43,0,,0,,0,0.0,0.0,0.0,,,0.79,,,0.0,0.0,0.0,0.0,0,0.0,
8,T. Scott,-259354,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4806_120x120.png,000000,England,['England'],Banbury United,0,5,203,Banbury United,"['LDMF', 'LCMF3', 'RCMF']",20.0,,0,0.01,0,0.02,17.29,41.03,right,0,0,False,6.65,5.32,58.33,2.22,40.0,0.0,0.0,0.89,3.55,5.45,0.89,0,0.0,0,0.0,1.77,0.0,0,0.0,0.0,0,0.0,1,0.44,0.0,0.0,0.0,1.77,50.0,0.89,100.0,0.89,0.0,0.44,1.77,50.0,6.65,40.0,0.89,0.44,0.89,24.38,0.89,0.89,37.68,80.0,11.53,65.38,6.21,100.0,15.07,85.29,31.48,83.1,4.88,63.64,22.17,29.37,0.01,0.89,0.0,0.0,0.44,0.0,0.0,5.32,58.33,1.33,66.67,0.44,0.0,0.44,0.44,4.88,63.64,0,,0,,0,0.0,0.0,0.0,,,0.44,,,0.0,0.0,0.0,0.0,0,0.0,
9,A. Moke,194190,https://cdn5.wyscout.com/photos/players/public/74483_100x130.png,https://cdn5.wyscout.com/photos/team/public/g24446_120x120.png,000000,Portugal,"['Portugal', 'England']",Darlington 1883,0,19,1061,Darlington 1883,"['RCMF', 'LCMF3', 'LCMF']",34.0,2024-06-30,0,0.31,1,0.77,15.52,45.9,right,173,0,False,6.02,4.33,68.63,3.14,35.14,0.25,0.38,0.08,2.8,4.21,0.51,1,0.08,0,0.0,0.93,0.0,0,0.0,0.03,0,0.0,2,0.17,0.0,0.0,0.08,0.42,40.0,0.25,33.33,0.17,50.0,0.0,1.27,53.33,4.84,33.33,0.51,1.7,0.76,27.4,1.02,0.76,41.23,84.57,11.03,70.0,8.31,89.8,13.06,90.26,37.32,87.5,3.48,58.54,16.11,24.31,0.07,0.76,0.0,0.0,0.08,100.0,0.34,5.34,76.19,1.27,53.33,0.34,25.0,0.68,0.17,5.0,69.49,0,,0,,0,0.0,0.0,0.0,,,0.34,,,0.0,0.0,0.0,0.08,0,0.0,
