,name,current_team_name,winger,dribbling_winger,inside_fwd,space_inv,avg_rating,minutes_on_field
143,L. Hasani,Blyth Spartans,100.0,99.0,92.0,91.0,95.5,2228
122,D. Sembie-Ferris,Scunthorpe United,77.0,72.0,100.0,96.0,86.25,2463
161,C. Mahon,Curzon Ashton,87.0,94.0,91.0,71.0,85.75,3225
158,J. Thewlis,Alfreton Town,68.0,68.0,92.0,73.0,75.25,2871
35,S. Osborne,Buxton,64.0,71.0,97.0,69.0,75.25,1341
155,L. Salmon,Alfreton Town,62.0,51.0,95.0,90.0,74.5,2118
111,M. Cornish,Darlington 1883,63.0,50.0,85.0,100.0,74.5,1391
87,S. Minihan,Buxton,73.0,74.0,69.0,77.0,73.25,3392
95,G. Rogers,King's Lynn Town,67.0,70.0,85.0,69.0,72.75,1076
165,J. Johnson,Chorley,73.0,89.0,79.0,49.0,72.5,3671
0,D. Sotona,Boston United,66.0,88.0,91.0,42.0,71.75,1368
43,B. Fowkes,Peterborough Sports,71.0,83.0,86.0,46.0,71.5,2092
163,W. Hayhurst,Curzon Ashton,69.0,66.0,70.0,80.0,71.25,4409
148,F. Barnes,Scarborough Athletic,65.0,60.0,78.0,78.0,70.25,1876
149,H. Green,Scarborough Athletic,65.0,77.0,84.0,54.0,70.0,2011
164,B. Whitehouse,Chorley,75.0,91.0,65.0,49.0,70.0,2832
145,R. Calder,Brackley Town,74.0,100.0,70.0,34.0,69.5,4207
120,H. Pinchard,Gloucester City,69.0,79.0,74.0,52.0,68.5,3339
103,D. Mottley-Henry,Buxton,60.0,68.0,81.0,57.0,66.5,2447
117,C. Salkeld,Darlington 1883,59.0,57.0,81.0,65.0,65.5,2764
129,S. McLintock,Rushall Olympic,67.0,65.0,66.0,60.0,64.5,2082
15,C. Roberts,Scunthorpe United,62.0,62.0,70.0,63.0,64.25,1086
113,K. Griffiths,Darlington 1883,61.0,68.0,73.0,52.0,63.5,3149
89,D. Foxley,Bishop's Stortford,65.0,78.0,70.0,39.0,63.0,3594
133,I. Buckley-Ricketts,Warrington Town,51.0,50.0,80.0,70.0,62.75,4216
146,C. Wilson,Scarborough Athletic,55.0,59.0,81.0,53.0,62.0,1721
61,J. Allen,Curzon Ashton,62.0,50.0,75.0,57.0,61.0,1400
154,K. Ward,Boston United,55.0,54.0,73.0,62.0,61.0,2993
114,J. Rivers,Darlington 1883,55.0,52.0,74.0,63.0,61.0,1395
94,B. Stephens,King's Lynn Town,59.0,61.0,72.0,52.0,61.0,2978
93,C. McKeown,Spennymoor Town,56.0,65.0,69.0,52.0,60.5,2430
132,C. Woods,Warrington Town,55.0,60.0,68.0,56.0,59.75,3491
54,J. Nicholson,Peterborough Sports,52.0,36.0,69.0,79.0,59.0,1057
88,T. Elliot,Buxton,62.0,68.0,55.0,47.0,58.0,1881
116,J. Taylor,Chester,59.0,67.0,62.0,41.0,57.25,2064
86,R. Maher,Rushall Olympic,61.0,77.0,57.0,33.0,57.0,1718
78,K. Martin,Boston United,59.0,65.0,50.0,52.0,56.5,2340
140,W. McGowan,Blyth Spartans,51.0,56.0,63.0,54.0,56.0,4264
107,T. Walton,Southport,48.0,55.0,58.0,53.0,53.5,2222
156,Billy Fewster,Alfreton Town,54.0,62.0,61.0,35.0,53.0,3227
92,D. Greenfield,Spennymoor Town,50.0,42.0,61.0,59.0,53.0,3096
144,L. James,Blyth Spartans,51.0,51.0,60.0,45.0,51.75,1761
58,M. Storey,Curzon Ashton,59.0,80.0,48.0,20.0,51.75,1172
147,L. Colville,Scarborough Athletic,47.0,52.0,55.0,49.0,50.75,4369
71,J. Mongoy,Spennymoor Town,51.0,56.0,52.0,44.0,50.75,1238
91,A. Greene,Bishop's Stortford,46.0,55.0,65.0,34.0,50.0,2170
81,K. Finn,Tamworth,45.0,42.0,52.0,55.0,48.5,3567
123,A. Beestin,Scunthorpe United,43.0,44.0,56.0,51.0,48.5,1465
125,D. Elliott,Scunthorpe United,41.0,42.0,62.0,49.0,48.5,2066
109,L. Mendes,Hereford FC,48.0,44.0,37.0,60.0,47.25,2025
142,R. Evans,Blyth Spartans,46.0,58.0,53.0,31.0,47.0,3852
50,J. Ngandu,Darlington 1883,43.0,44.0,58.0,43.0,47.0,1271
69,Alefe Santos,Gloucester City,54.0,61.0,42.0,31.0,47.0,1200
32,J. Tompkins,Banbury United,48.0,52.0,52.0,35.0,46.75,1186
53,M. Liddle,Blyth Spartans,43.0,46.0,48.0,49.0,46.5,2690
59,J. O'Donnell,Blyth Spartans,45.0,59.0,50.0,31.0,46.25,1220
5,M. Curry,Darlington 1883,28.0,22.0,67.0,61.0,44.5,1094
141,C. Matwasa,Brackley Town,47.0,66.0,44.0,18.0,43.75,2057
106,I. Murray,Chester,38.0,52.0,54.0,30.0,43.5,2146
80,M. Grivosti,Warrington Town,37.0,44.0,51.0,41.0,43.25,2194
151,C. Hewitt,Banbury United,37.0,53.0,48.0,29.0,41.75,3186
42,L. Burgess,Southport,56.0,76.0,15.0,18.0,41.25,1132
37,Z. Walker,Bishop's Stortford,42.0,40.0,35.0,46.0,40.75,1292
105,E. McKeown,Buxton,35.0,33.0,54.0,40.0,40.5,1794
63,D. Arlott-John,Tamworth,37.0,49.0,44.0,31.0,40.25,1618
10,K. Ronan,King's Lynn Town,45.0,52.0,28.0,29.0,38.5,3370
157,S. Smart,Boston United,40.0,52.0,40.0,19.0,37.75,1735
162,J. Richards,Curzon Ashton,39.0,40.0,19.0,36.0,33.5,4119
127,J. Masidi,Rushall Olympic,34.0,46.0,29.0,24.0,33.25,2782
124,R. Barrows,King's Lynn Town,31.0,27.0,22.0,41.0,30.25,1334
108,J. Doyle,Southport,35.0,39.0,2.0,31.0,26.75,3987
90,R. Charles,Bishop's Stortford,15.0,19.0,31.0,36.0,25.25,3122
34,B. Holmes,Southport,13.0,18.0,35.0,31.0,24.25,1638
77,E. Sephton,Boston United,27.0,51.0,0.0,11.0,22.25,1061
3,Teddy Rowe,Gloucester City,23.0,37.0,15.0,10.0,21.25,1263
96,D. Crowe,King's Lynn Town,19.0,37.0,9.0,7.0,18.0,2232
104,A. Livingstone,Buxton,21.0,43.0,2.0,0.0,16.5,2963
99,D. Tear,Scarborough Athletic,4.0,0.0,19.0,34.0,14.25,1684
115,B. Liddle,Darlington 1883,1.0,7.0,0.0,23.0,7.75,1478
67,H. Emmett,Gloucester City,0.0,14.0,2.0,5.0,5.25,1822
