,name,current_team_name,stopper_rating,central_defender_rating,ball_playing_center_back_rating,ball_carrying_center_back_rating,avg_rating,minutes_on_field
7,M. Ellis,Chorley,82.0,94.0,73.0,97.0,86.5,3750
51,J. Coulson,King's Lynn Town,89.0,90.0,66.0,98.0,85.75,4330
82,J. Coulson,King's Lynn Town,89.0,90.0,66.0,98.0,85.75,4330
85,B. Pollock,Spennymoor Town,100.0,87.0,71.0,79.0,84.25,3652
0,P. Downing,Hereford FC,74.0,71.0,94.0,93.0,83.0,2594
75,R. Fryatt,Peterborough Sports,77.0,91.0,73.0,88.0,82.25,1688
92,T. Lees,Darlington 1883,62.0,63.0,92.0,99.0,79.0,3830
5,J. Hull,Buxton,78.0,78.0,59.0,100.0,78.75,2144
76,C. Johnson,Peterborough Sports,100.0,100.0,47.0,67.0,78.5,2312
78,C. Johnson,Peterborough Sports,100.0,100.0,47.0,67.0,78.5,2312
90,J. Lawlor,Darlington 1883,85.0,82.0,72.0,75.0,78.5,2682
83,G. Liddle,Spennymoor Town,82.0,78.0,91.0,54.0,76.25,2875
56,M. Hunt,Buxton,76.0,84.0,62.0,81.0,75.75,3484
74,R. McAuley,Peterborough Sports,62.0,78.0,64.0,98.0,75.5,1076
46,M. Poscha,Curzon Ashton,58.0,60.0,87.0,83.0,72.0,3616
71,M. Poscha,Curzon Ashton,58.0,60.0,87.0,83.0,72.0,3616
8,F. Cousin-Dawson,Blyth Spartans,57.0,50.0,91.0,87.0,71.25,4237
2,M. Bostwick,Boston United,78.0,64.0,70.0,71.0,70.75,4065
80,L. Mbeka,Spennymoor Town,60.0,54.0,71.0,87.0,68.0,3854
49,L. Mbeka,Spennymoor Town,60.0,54.0,71.0,87.0,68.0,3854
63,R. Browne,Rushall Olympic,40.0,50.0,85.0,97.0,68.0,1596
105,R. Browne,Rushall Olympic,40.0,50.0,85.0,97.0,68.0,1596
111,R. Browne,Rushall Olympic,40.0,50.0,85.0,97.0,68.0,1596
22,C. Waller,Banbury United,65.0,79.0,55.0,67.0,66.5,1090
100,T. Duffus,Gloucester City,87.0,77.0,30.0,69.0,65.75,2498
58,T. Duffus,Gloucester City,87.0,77.0,30.0,69.0,65.75,2498
35,E. Oluwadamilola Oke,Bishop's Stortford,83.0,71.0,43.0,63.0,65.0,1986
65,T. Hannigan,Warrington Town,66.0,63.0,48.0,80.0,64.25,3780
107,T. Hannigan,Warrington Town,66.0,63.0,48.0,80.0,64.25,3780
113,T. Hannigan,Warrington Town,66.0,63.0,48.0,80.0,64.25,3780
59,W. Evans,Scunthorpe United,47.0,49.0,78.0,80.0,63.5,3493
101,W. Evans,Scunthorpe United,47.0,49.0,78.0,80.0,63.5,3493
86,L. Shiels,Buxton,65.0,64.0,39.0,85.0,63.25,2717
41,L. Shiels,Buxton,65.0,64.0,39.0,85.0,63.25,2717
89,M. Williams,Chester,54.0,47.0,66.0,84.0,62.75,3978
112,J. Brown,Rushall Olympic,54.0,59.0,44.0,81.0,59.5,3088
106,J. Brown,Rushall Olympic,54.0,59.0,44.0,81.0,59.5,3088
64,J. Brown,Rushall Olympic,54.0,59.0,44.0,81.0,59.5,3088
6,G. Taylor,King's Lynn Town,60.0,66.0,58.0,53.0,59.25,1663
29,H. Clark,Blyth Spartans,32.0,30.0,82.0,92.0,59.0,2200
25,J. Sukar,Darlington 1883,50.0,40.0,63.0,83.0,59.0,1295
68,D. Matthews,Curzon Ashton,27.0,26.0,84.0,94.0,57.75,4148
43,D. Matthews,Curzon Ashton,27.0,26.0,84.0,94.0,57.75,4148
27,D. Morse,South Shields,39.0,27.0,100.0,57.0,55.75,1801
47,G. Waring,Curzon Ashton,56.0,62.0,28.0,71.0,54.25,3646
72,G. Waring,Curzon Ashton,56.0,62.0,28.0,71.0,54.25,3646
84,K. Callan-McFadden,King's Lynn Town,51.0,65.0,42.0,55.0,53.25,4221
119,H. Smith,Chorley,42.0,43.0,53.0,69.0,51.75,3333
57,R. Misambo,Farsley Celtic FC,84.0,83.0,1.0,38.0,51.5,3314
118,S. Wilson,Chorley,66.0,66.0,28.0,46.0,51.5,2201
1,P. Clarke,Warrington Town,44.0,52.0,44.0,63.0,50.75,3519
30,B. Hockenhull,Southport,52.0,63.0,25.0,59.0,49.75,1659
55,I. Assenso,Farsley Celtic FC,52.0,66.0,18.0,58.0,48.5,1127
53,T. Allan,Farsley Celtic FC,36.0,45.0,42.0,67.0,47.5,3073
98,N. Cameron,Hereford FC,61.0,63.0,26.0,38.0,47.0,3586
24,B. Richards-Everton,Gloucester City,52.0,52.0,25.0,48.0,44.25,2283
117,T. Fleming,Banbury United,38.0,45.0,48.0,45.0,44.0,4355
31,J. Davies,Banbury United,13.0,34.0,62.0,67.0,44.0,2886
99,K. Howkins,Hereford FC,38.0,36.0,41.0,61.0,44.0,2594
38,J. Davies,Banbury United,13.0,34.0,62.0,67.0,44.0,2886
61,M. Kouogun,Scunthorpe United,44.0,39.0,40.0,50.0,43.25,2290
103,M. Kouogun,Scunthorpe United,44.0,39.0,40.0,50.0,43.25,2290
88,K. Burton,Chester,31.0,30.0,45.0,65.0,42.75,1154
34,J. Cullinane-Liburd,Tamworth,51.0,43.0,16.0,51.0,40.25,3658
120,T. Leak,Boston United,28.0,39.0,46.0,45.0,39.5,2668
37,F. Arthur,Southport,19.0,37.0,31.0,70.0,39.25,1555
40,F. Arthur,Southport,19.0,37.0,31.0,70.0,39.25,1555
16,A. Gudger,Brackley Town,21.0,28.0,27.0,78.0,38.5,1542
52,C. Atkinson,Farsley Celtic FC,37.0,38.0,28.0,51.0,38.5,4000
54,R. Qualter,Buxton,44.0,53.0,29.0,19.0,36.25,1002
121,S. Brisley,Alfreton Town,63.0,67.0,7.0,5.0,35.5,2393
122,K. Digie,Alfreton Town,29.0,18.0,28.0,62.0,34.25,4071
26,M. Ram,Alfreton Town,33.0,29.0,12.0,57.0,32.75,1979
110,M. Clarke,Rushall Olympic,14.0,20.0,34.0,60.0,32.0,2756
62,M. Clarke,Rushall Olympic,14.0,20.0,34.0,60.0,32.0,2756
104,M. Clarke,Rushall Olympic,14.0,20.0,34.0,60.0,32.0,2756
21,L. Dolman,Tamworth,28.0,17.0,7.0,67.0,29.75,2191
44,H. Beadle,Bishop's Stortford,21.0,36.0,6.0,55.0,29.5,3287
69,H. Beadle,Bishop's Stortford,21.0,36.0,6.0,55.0,29.5,3287
87,A. Fox,Peterborough Sports,12.0,22.0,35.0,47.0,29.0,3634
108,A. Wisdom,Warrington Town,18.0,23.0,23.0,50.0,28.5,3086
114,A. Wisdom,Warrington Town,18.0,23.0,23.0,50.0,28.5,3086
66,A. Wisdom,Warrington Town,18.0,23.0,23.0,50.0,28.5,3086
97,A. Boyce,Scunthorpe United,3.0,1.0,48.0,50.0,25.5,2748
93,J. Willets,Tamworth,35.0,31.0,0.0,31.0,24.25,2666
123,D. Wiley,Alfreton Town,3.0,5.0,13.0,43.0,16.0,3515
45,M. Haines,Bishop's Stortford,0.0,16.0,9.0,35.0,15.0,2024
70,M. Haines,Bishop's Stortford,0.0,16.0,9.0,35.0,15.0,2024
91,L. Edwards,Chester,17.0,0.0,13.0,0.0,7.5,1829
