,name,current_team_name,Regista_rating,Creative_playmaker_rating,Defensive_midfielder_rating,Box_to_box_rating,Central_midfielder_general_rating,avg_rating,minutes_on_field
0,D. Weeks,Chester,94.0,100.0,47.0,96.0,99.0,87.2,4248
1,L. Maloney,Scarborough Athletic,99.0,98.0,43.0,63.0,95.0,79.6,3007
2,H. Alban Jones,Peterborough Sports,74.0,38.0,77.0,93.0,100.0,76.4,2953
3,W. Jenkins,South Shields,74.0,94.0,57.0,77.0,70.0,74.4,1452
4,R. Briggs,South Shields,100.0,34.0,52.0,73.0,100.0,71.8,3284
5,L. Hasani,Blyth Spartans,75.0,85.0,54.0,76.0,69.0,71.8,2228
6,J. Jellis,Tamworth,64.0,44.0,74.0,90.0,81.0,70.6,2496
7,J. McCourt,Buxton,85.0,99.0,36.0,44.0,82.0,69.2,2282
8,A. Lund,Alfreton Town,47.0,48.0,60.0,83.0,100.0,67.6,4421
9,J. Harris,Warrington Town,66.0,38.0,70.0,74.0,80.0,65.6,1739
10,M. Smith,South Shields,80.0,44.0,45.0,65.0,90.0,64.8,3496
11,S. Murombedzi,Brackley Town,45.0,19.0,78.0,98.0,81.0,64.2,4105
12,E. Maja,Banbury United,56.0,18.0,72.0,88.0,86.0,64.0,2871
13,M. Woods,Boston United,61.0,68.0,53.0,69.0,67.0,63.6,2600
14,A. Purver,Scarborough Athletic,48.0,17.0,74.0,91.0,84.0,62.8,4102
15,T. Platt,Darlington 1883,43.0,11.0,78.0,100.0,80.0,62.4,4151
16,M. Anderson,Spennymoor Town,96.0,92.0,20.0,39.0,62.0,61.8,1165
17,J. Evans,Farsley Celtic FC,46.0,14.0,100.0,85.0,63.0,61.6,2251
18,D. Lawlor,Peterborough Sports,59.0,50.0,52.0,66.0,75.0,60.4,3529
19,L. D'Ath,Hereford FC,70.0,61.0,32.0,64.0,69.0,59.2,3281
20,S. Fielding,Spennymoor Town,63.0,67.0,43.0,51.0,68.0,58.4,1594
21,D. Morgan,Southport,65.0,71.0,33.0,50.0,73.0,58.4,3249
22,J. Richards,Boston United,44.0,19.0,69.0,84.0,74.0,58.0,4187
23,T. O'Sullivan,Brackley Town,62.0,79.0,29.0,50.0,62.0,56.4,3023
24,A. Kassarate,Bishop's Stortford,23.0,14.0,79.0,90.0,63.0,53.8,2602
25,C. Kirby,Buxton,62.0,44.0,31.0,57.0,71.0,53.0,4011
26,K. Scales,Scunthorpe United,62.0,49.0,26.0,66.0,58.0,52.2,3770
27,M. Sundire,Tamworth,40.0,32.0,54.0,68.0,65.0,51.8,3192
28,F. Shrimpton,Spennymoor Town,55.0,38.0,52.0,54.0,55.0,50.8,1897
29,E. Forbes,Blyth Spartans,56.0,19.0,46.0,62.0,68.0,50.2,3549
30,D. Philliskirk,Southport,52.0,21.0,63.0,62.0,53.0,50.2,2325
31,M. Calveley,Chorley,34.0,34.0,54.0,66.0,62.0,50.0,3964
32,B. Milnes,Tamworth,51.0,59.0,36.0,39.0,64.0,49.8,2729
33,M. Clunan,Scunthorpe United,56.0,16.0,56.0,62.0,57.0,49.4,2687
34,H. Pinchard,Gloucester City,56.0,53.0,29.0,62.0,44.0,48.8,3339
35,K. Roberts,Chester,47.0,22.0,48.0,62.0,63.0,48.4,3301
36,R. Watson,Farsley Celtic FC,54.0,56.0,38.0,32.0,59.0,47.8,2173
37,J. Thomas,Bishop's Stortford,29.0,12.0,65.0,69.0,63.0,47.6,2982
38,T. Tonks,Tamworth,38.0,45.0,51.0,48.0,54.0,47.2,2718
39,E. Whitehouse,Chester,46.0,19.0,43.0,64.0,62.0,46.8,3811
40,J. Nolan,Chorley,41.0,22.0,58.0,60.0,49.0,46.0,2611
41,J. Hanks,Gloucester City,34.0,40.0,48.0,50.0,56.0,45.6,3239
42,L. Mendes,Hereford FC,37.0,39.0,49.0,50.0,49.0,44.8,2025
43,G. Morrison,King's Lynn Town,30.0,11.0,61.0,69.0,52.0,44.6,3226
44,K. Glynn,Chorley,53.0,10.0,47.0,62.0,51.0,44.6,1080
45,A. Bates,Brackley Town,56.0,98.0,0.0,26.0,41.0,44.2,1774
46,J. Hickey,Blyth Spartans,55.0,39.0,26.0,43.0,57.0,44.0,2437
47,M. Dolan,Spennymoor Town,52.0,58.0,34.0,34.0,41.0,43.8,1107
48,B. Dixon,Warrington Town,61.0,65.0,9.0,45.0,39.0,43.8,2028
49,T. Hughes,King's Lynn Town,45.0,46.0,42.0,40.0,44.0,43.4,1307
50,W. Hatfield,Darlington 1883,44.0,29.0,31.0,59.0,51.0,42.8,4071
51,C. Hargreaves,King's Lynn Town,29.0,25.0,52.0,62.0,45.0,42.6,3643
52,I. Sinclair,Curzon Ashton,38.0,34.0,31.0,61.0,46.0,42.0,3507
53,C. Ross,Spennymoor Town,58.0,13.0,37.0,45.0,56.0,41.8,2751
54,T. Pugh,Hereford FC,32.0,38.0,48.0,46.0,39.0,40.6,1008
55,C. Branson,Farsley Celtic FC,36.0,9.0,40.0,50.0,67.0,40.4,3468
56,A. Kenyon,Curzon Ashton,52.0,4.0,46.0,43.0,56.0,40.2,2300
57,C. Ward,Banbury United,40.0,56.0,27.0,40.0,37.0,40.0,1212
58,J. Abbey,South Shields,53.0,73.0,10.0,38.0,25.0,39.8,2248
59,C. Weston,Buxton,24.0,15.0,66.0,60.0,34.0,39.8,2214
60,G. Cantrill,Alfreton Town,13.0,14.0,44.0,59.0,56.0,37.2,4673
61,J. Smile,Gloucester City,35.0,6.0,60.0,46.0,38.0,37.0,1098
62,A. Barton,Curzon Ashton,43.0,24.0,18.0,46.0,49.0,36.0,4378
63,Áurio Teixeira,Hereford FC,48.0,17.0,25.0,37.0,47.0,34.8,3678
64,D. Hill,Boston United,42.0,17.0,29.0,43.0,39.0,34.0,1747
65,B. Liddle,Darlington 1883,51.0,28.0,21.0,27.0,38.0,33.0,1478
66,R. Hughes,Curzon Ashton,51.0,31.0,24.0,31.0,27.0,32.8,1652
67,L. Waldock,Alfreton Town,24.0,62.0,4.0,27.0,36.0,30.6,3770
68,A. Moke,Darlington 1883,49.0,43.0,21.0,26.0,13.0,30.4,1061
69,F. Alexander,Bishop's Stortford,39.0,0.0,47.0,32.0,25.0,28.6,1662
70,B. Atkinson,Farsley Celtic FC,28.0,24.0,15.0,30.0,44.0,28.2,3429
71,O. Peters,Bishop's Stortford,48.0,33.0,18.0,17.0,21.0,27.4,1302
72,A. Beestin,Scunthorpe United,22.0,43.0,21.0,31.0,15.0,26.4,1465
73,A. Teixeira,Hereford FC,38.0,7.0,35.0,23.0,24.0,25.4,1663
74,S. Leverett,Farsley Celtic FC,25.0,56.0,16.0,3.0,22.0,24.4,1120
75,J. Bainbridge,Southport,22.0,6.0,34.0,28.0,25.0,23.0,1236
76,H. Lindley,Darlington 1883,51.0,17.0,6.0,0.0,16.0,18.0,1014
77,J. Ackroyd,Buxton,0.0,22.0,27.0,4.0,0.0,10.6,1380
