,name,current_team_name,center_forward,deep_lying_forward,pressing_forward,target_man,poacher,avg_rating,minutes_on_field
0,R. Maher,Rushall Olympic,100.0,100.0,79.0,96.0,100.0,95.0,1718
1,G. Taylor,Spennymoor Town,86.0,71.0,95.0,74.0,95.0,84.2,2375
2,P. Blackett,South Shields,88.0,70.0,84.0,83.0,93.0,83.6,3991
3,S. Osborne,Buxton,89.0,83.0,66.0,76.0,92.0,81.2,1341
4,D. De Girolamo,Buxton,72.0,61.0,89.0,69.0,77.0,73.6,2356
5,J. Hooper,Blyth Spartans,73.0,52.0,100.0,65.0,78.0,73.6,1406
6,C. Woods,Warrington Town,74.0,79.0,64.0,73.0,70.0,72.0,3491
7,G. McGregor,Bishop's Stortford,73.0,73.0,44.0,100.0,68.0,71.6,2046
8,M. Ndjoli,Spennymoor Town,70.0,47.0,93.0,60.0,77.0,69.4,1196
9,D. Elliott,Scunthorpe United,71.0,53.0,77.0,58.0,76.0,67.0,2066
10,A. Williams,Hereford FC,71.0,59.0,67.0,54.0,78.0,65.8,1343
11,Y. Ceesay,Hereford FC,69.0,75.0,68.0,51.0,64.0,65.4,2803
12,J. Mongoy,Spennymoor Town,66.0,66.0,62.0,62.0,67.0,64.6,1238
13,B. Stephens,King's Lynn Town,65.0,64.0,60.0,63.0,68.0,64.0,2978
14,D. Creaney,Tamworth,64.0,41.0,88.0,56.0,69.0,63.6,2088
15,O. Oseni,Rushall Olympic,64.0,39.0,86.0,49.0,73.0,62.2,1094
16,J. Cowley,Hereford FC,68.0,52.0,59.0,52.0,75.0,61.2,2581
17,C. Caton,Chester,60.0,46.0,74.0,44.0,62.0,57.2,1758
18,C. Salkeld,Darlington 1883,58.0,65.0,54.0,51.0,56.0,56.8,2764
19,T. Obadeyi,Hereford FC,60.0,66.0,48.0,52.0,58.0,56.8,2077
20,Cedric Main,Darlington 1883,59.0,52.0,53.0,59.0,58.0,56.2,2966
21,D. Sembie-Ferris,Scunthorpe United,54.0,78.0,44.0,58.0,45.0,55.8,2463
22,D. Whitehall,Scunthorpe United,59.0,42.0,59.0,49.0,66.0,55.0,3139
23,M. Storey,Curzon Ashton,53.0,70.0,43.0,58.0,37.0,52.2,1172
24,Stefan Mols,Curzon Ashton,51.0,52.0,42.0,52.0,51.0,49.6,2620
25,J. Knowles,Boston United,53.0,50.0,52.0,41.0,52.0,49.6,3793
26,I. Buckley-Ricketts,Warrington Town,52.0,53.0,47.0,39.0,54.0,49.0,4216
27,A. Rutledge,Darlington 1883,52.0,41.0,45.0,35.0,60.0,46.6,1935
28,B. Fowkes,Peterborough Sports,48.0,41.0,64.0,33.0,47.0,46.6,2092
29,W. Harris,Spennymoor Town,49.0,37.0,51.0,41.0,54.0,46.4,3245
30,C. Wreh,Tamworth,48.0,47.0,46.0,38.0,50.0,45.8,1280
31,M. Curry,Darlington 1883,42.0,28.0,70.0,35.0,44.0,43.8,1094
32,J. Spencer,Curzon Ashton,44.0,49.0,41.0,36.0,46.0,43.2,3879
